File, Rows, Columns, NonzeroEntries, Coordinate_Bytes, CSR_Bytes, SCSR_Bytes: 
oscil_dcop_45.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_46.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_47.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_48.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_49.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_50.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_51.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_52.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_53.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_54.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_55.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_56.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_57.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_trans_01.mtx, 430, 430, 1614, 32280, 14636, 10548
p0033.mtx, 15, 48, 113, 2260, 968, 712
p0040.mtx, 23, 63, 133, 2660, 1160, 848
p0201.mtx, 133, 334, 2056, 41120, 16984, 12606
p0282.mtx, 241, 523, 2207, 44140, 18624, 13728
p0291.mtx, 252, 543, 2283, 45660, 19276, 14206
p0548.mtx, 176, 724, 1887, 37740, 15804, 11678
pde225.mtx, 225, 225, 1065, 21300, 9424, 6844
pde900.mtx, 900, 900, 4380, 87600, 38644, 28084
pivtol.mtx, 102, 102, 306, 6120, 2860, 2044
plat362.mtx, 362, 362, 3074, 61480, 26044, 19172
plskz362.mtx, 362, 362, 880, 17600, 7976, 5748
poisson2D.mtx, 367, 367, 2417, 48340, 20808, 15240
polbooks.mtx, 105, 105, 441, 7938, 3062, 1970
pores_1.mtx, 30, 30, 180, 3600, 1564, 1144
pores_3.mtx, 532, 532, 3474, 69480, 29924, 21912
problem.mtx, 12, 46, 86, 1720, 740, 544
problem1.mtx, 415, 415, 2779, 55580, 23896, 17508
qh768.mtx, 768, 768, 2934, 58680, 26548, 19144
qh882.mtx, 882, 882, 3354, 67080, 30364, 21892
QRpivot.mtx, 660, 749, 3808, 76160, 33108, 24172
Ragusa16.mtx, 24, 24, 81, 1620, 728, 528
