File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes
tumorAntiAngiogenesis_1.mtx; Matrix; Coordinate; Symmetric; 205; 205; 953; Real; -7.36931; 32.4793; 2; 2; 4; 15248; 11110; 11110; 5761
tumorAntiAngiogenesis_2.mtx; Matrix; Coordinate; Symmetric; 305; 305; 1441; Real; -39.5418; 515247; 2; 2; 4; 23056; 16806; 16806; 14107
tumorAntiAngiogenesis_3.mtx; Matrix; Coordinate; Symmetric; 410; 410; 2099; Real; -32.9781; 3.69642e+07; 2; 2; 4; 33584; 24534; 24534; 24534
tumorAntiAngiogenesis_4.mtx; Matrix; Coordinate; Symmetric; 455; 455; 2433; Real; -33.0587; 1.69909e+12; 2; 2; 4; 38928; 28470; 28470; 28470
tumorAntiAngiogenesis_5.mtx; Matrix; Coordinate; Symmetric; 460; 460; 2483; Real; -33.0495; 1.49047e+10; 2; 2; 4; 39728; 29062; 29062; 29062
tumorAntiAngiogenesis_6.mtx; Matrix; Coordinate; Symmetric; 465; 465; 2537; Real; -33.0673; 1.76554e+12; 2; 2; 4; 40592; 29702; 29702; 29702
tumorAntiAngiogenesis_7.mtx; Matrix; Coordinate; Symmetric; 475; 475; 2441; Real; -33.0599; 1.32636e+10; 2; 2; 4; 39056; 28534; 28534; 28534
tumorAntiAngiogenesis_8.mtx; Matrix; Coordinate; Symmetric; 490; 490; 2535; Real; -33.0592; 7.28989e+11; 2; 2; 4; 40560; 29638; 29638; 29638
twotone.mtx; Matrix; Coordinate; General; 120750; 120750; 1224224; Real; -6410.7; 6038.65; 4; 4; 4; 14690688; 10276796; 7592888; 5144440
USAir97.mtx; Matrix; Coordinate; Symmetric; 332; 332; 2126; Real; 0.0009; 0.5326; 2; 2; 4; 34016; 26178; 26178; 9170
usroads-48.mtx; Matrix; Coordinate; Symmetric; 126146; 126146; 161950; Pattern; 1; 1; 4; 4; 2; 3239000; 2447988; 1548718; 900918
usroads.mtx; Matrix; Coordinate; Symmetric; 129164; 129164; 165435; Pattern; 1; 1; 4; 4; 2; 3308700; 2501880; 1582668; 920928
ut2010.mtx; Matrix; Coordinate; Symmetric; 115406; 115406; 286033; Integer; 41; 2.35532e+07; 4; 4; 4; 6864792; 5038156; 3672420; 3672420
utm300.mtx; Matrix; Coordinate; General; 300; 300; 3155; Real; -1; 0.999993; 2; 2; 4; 25240; 19532; 19532; 6912
vsp_c-60_data_cti_cs4.mtx; Matrix; Coordinate; Symmetric; 85830; 85830; 241080; Pattern; 1; 1; 4; 4; 2; 4821600; 3236284; 2120384; 1156064
vsp_finan512_scagr7-2c_rlfddd.mtx; Matrix; Coordinate; Symmetric; 139752; 139752; 552020; Pattern; 1; 1; 4; 4; 2; 11040400; 7183252; 4776758; 2568678
vsp_mod2_pgp2_slptsk.mtx; Matrix; Coordinate; Symmetric; 101364; 101364; 389368; Pattern; 1; 1; 4; 4; 2; 7787360; 5077876; 3377758; 1820286
vsp_vibrobox_scagr7-2c_rlfddd.mtx; Matrix; Coordinate; Symmetric; 77328; 77328; 435586; Pattern; 1; 1; 4; 4; 2; 8711720; 5536348; 3652894; 1910550
wave.mtx; Matrix; Coordinate; Symmetric; 156317; 156317; 1059331; Pattern; 1; 1; 4; 4; 2; 21186620; 13337244; 8865120; 4627796
west0067.mtx; Matrix; Coordinate; General; 67; 67; 294; Real; -1.86335; 1.86335; 2; 2; 4; 2352; 1900; 1900; 724
west0132.mtx; Matrix; Coordinate; General; 132; 132; 414; Real; -316220; 21850.3; 2; 2; 4; 3312; 2750; 2750; 1922
west0156.mtx; Matrix; Coordinate; General; 156; 156; 371; Real; -175966; 1.8672e+07; 2; 2; 4; 2968; 2540; 2540; 2540
west0167.mtx; Matrix; Coordinate; General; 167; 167; 507; Real; -316225; 21599.4; 2; 2; 4; 4056; 3378; 3378; 2364
