ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; fs_760_3.mtx; Matrix; Coordinate; General; 760; 760; 5976; Real; -2.1905e+08; 2.19056e+08; 2; 2; 4; 47808; 37378; 37378; 37378; 37378; 37378; 37378
0; G1.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Pattern; 1; 1; 2; 2; 2; 230112; 155010; 155010; 78306; 155010; 155010; 78306
0; G10.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Integer; -1; 1; 2; 2; 4; 306816; 231714; 231714; 78306; 231714; 231714; 78306
0; G11.mtx; Matrix; Coordinate; Symmetric; 800; 800; 1600; Integer; -1; 1; 2; 2; 4; 25600; 20802; 20802; 8002; 20802; 20802; 8002
0; G12.mtx; Matrix; Coordinate; Symmetric; 800; 800; 1600; Integer; -1; 1; 2; 2; 4; 25600; 20802; 20802; 8002; 20802; 20802; 8002
0; G13.mtx; Matrix; Coordinate; Symmetric; 800; 800; 1600; Integer; -1; 1; 2; 2; 4; 25600; 20802; 20802; 8002; 20802; 20802; 8002
0; G14.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4694; Pattern; 1; 1; 2; 2; 2; 56328; 39154; 39154; 20378; 39154; 39154; 20378
0; G15.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4661; Pattern; 1; 1; 2; 2; 2; 55932; 38890; 38890; 20246; 38890; 38890; 20246
0; G16.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4672; Pattern; 1; 1; 2; 2; 2; 56064; 38978; 38978; 20290; 38978; 38978; 20290
0; G17.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4667; Pattern; 1; 1; 2; 2; 2; 56004; 38938; 38938; 20270; 38938; 38938; 20270
0; G18.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4694; Integer; -1; 1; 2; 2; 4; 75104; 57930; 57930; 20378; 57930; 57930; 20378
0; G19.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4661; Integer; -1; 1; 2; 2; 4; 74576; 57534; 57534; 20246; 57534; 57534; 20246
0; G2.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Pattern; 1; 1; 2; 2; 2; 230112; 155010; 155010; 78306; 155010; 155010; 78306
0; G20.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4672; Integer; -1; 1; 2; 2; 4; 74752; 57666; 57666; 20290; 57666; 57666; 20290
0; G21.mtx; Matrix; Coordinate; Symmetric; 800; 800; 4667; Integer; -1; 1; 2; 2; 4; 74672; 57606; 57606; 20270; 57606; 57606; 20270
2; G2_circuit.mtx; Matrix; Coordinate; Symmetric; 150102; 150102; 438388; Real; -1176.47; 22247.6; 4; 4; 4; 10521312; 6413804; 4716948; 3263600; 6413804; 4716948; 3263600
0; G3.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Pattern; 1; 1; 2; 2; 2; 230112; 155010; 155010; 78306; 155010; 155010; 78306
0; G4.mtx; Matrix; Coordinate; Symmetric; 800; 800; 19176; Pattern; 1; 1; 2; 2; 2; 230112; 155010; 155010; 78306; 155010; 155010; 78306
0; G43.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 9990; Pattern; 1; 1; 2; 2; 2; 119880; 81922; 81922; 41962; 81922; 81922; 41962
0; G44.mtx; Matrix; Coordinate; Symmetric; 1000; 1000; 9990; Pattern; 1; 1; 2; 2; 2; 119880; 81922; 81922; 41962; 81922; 81922; 41962
